,County,Year,Deaths,Population,Crude Rate
0,"Abbeville County, SC",2012.0,19,25101,Unreliable
1,"Abbeville County, SC",2015.0,17,24932,Unreliable
2,"Abbeville County, SC",2017.0,12,24722,Unreliable
3,"Abbeville County, SC",2014.0,24,24965,96.1
4,"Abbeville County, SC",2013.0,23,25007,92
5,"Abbeville County, SC",2016.0,22,24872,88.5
6,"Acadia Parish, LA",2015.0,52,62577,83.1
7,"Acadia Parish, LA",2013.0,51,62204,82
8,"Acadia Parish, LA",2017.0,47,62590,75.1
9,"Acadia Parish, LA",2012.0,37,61912,59.8
10,"Acadia Parish, LA",2016.0,36,62645,57.5
11,"Acadia Parish, LA",2014.0,32,62486,51.2
12,"Accomack County, VA",2013.0,38,33148,114.6
13,"Accomack County, VA",2014.0,36,33021,109
14,"Accomack County, VA",2016.0,35,32947,106.2
15,"Accomack County, VA",2012.0,34,33341,102
16,"Accomack County, VA",2017.0,30,32545,92.2
17,"Accomack County, VA",2015.0,24,32973,72.8
18,"Ada County, ID",2013.0,155,416464,37.2
19,"Ada County, ID",2014.0,148,426236,34.7
20,"Ada County, ID",2016.0,148,444028,33.3
21,"Ada County, ID",2015.0,143,434211,32.9
22,"Ada County, ID",2012.0,130,409061,31.8
23,"Ada County, ID",2017.0,121,456849,26.5
24,"Adair County, IA",2017.0,13,7054,Unreliable
25,"Adair County, KY",2012.0,14,18675,Unreliable
26,"Adair County, KY",2013.0,15,18732,Unreliable
27,"Adair County, KY",2014.0,15,19204,Unreliable
28,"Adair County, KY",2015.0,10,19027,Unreliable
29,"Adair County, KY",2017.0,13,19485,Unreliable
30,"Adair County, MO",2013.0,11,25572,Unreliable
31,"Adair County, MO",2014.0,19,25602,Unreliable
32,"Adair County, MO",2016.0,13,25359,Unreliable
33,"Adair County, MO",2017.0,22,25377,86.7
34,"Adair County, OK",2012.0,13,22286,Unreliable
35,"Adair County, OK",2013.0,15,22194,Unreliable
36,"Adair County, OK",2014.0,18,22186,Unreliable
37,"Adair County, OK",2015.0,18,22004,Unreliable
38,"Adair County, OK",2016.0,10,22098,Unreliable
