County,Year,Deaths,Population,Crude Rate
"Abbeville County, SC",2014,24,24965,96.1
"Abbeville County, SC",2013,23,25007,92.0
"Abbeville County, SC",2016,22,24872,88.5
"Acadia Parish, LA",2015,52,62577,83.1
"Acadia Parish, LA",2013,51,62204,82.0
"Acadia Parish, LA",2017,47,62590,75.1
"Acadia Parish, LA",2012,37,61912,59.8
"Acadia Parish, LA",2016,36,62645,57.5
"Acadia Parish, LA",2014,32,62486,51.2
"Accomack County, VA",2013,38,33148,114.6
"Accomack County, VA",2014,36,33021,109.0
"Accomack County, VA",2016,35,32947,106.2
"Accomack County, VA",2012,34,33341,102.0
"Accomack County, VA",2017,30,32545,92.2
"Accomack County, VA",2015,24,32973,72.8
"Ada County, ID",2013,155,416464,37.2
"Ada County, ID",2014,148,426236,34.7
"Ada County, ID",2016,148,444028,33.3
"Ada County, ID",2015,143,434211,32.9
"Ada County, ID",2012,130,409061,31.8
"Ada County, ID",2017,121,456849,26.5
"Adair County, MO",2017,22,25377,86.7
"Adams County, CO",2016,156,498187,31.3
"Adams County, CO",2012,132,459598,28.7
"Adams County, CO",2013,127,469193,27.1
"Adams County, CO",2015,132,491337,26.9
"Adams County, CO",2014,123,480718,25.6
"Adams County, CO",2017,112,503167,22.3
"Adams County, IL",2014,49,66988,73.1
"Adams County, IL",2012,45,67197,67.0
"Adams County, IL",2017,44,66234,66.4
"Adams County, IL",2013,44,67130,65.5
"Adams County, IL",2015,39,67013,58.2
"Adams County, IL",2016,27,66578,40.6
"Adams County, IN",2016,20,35232,56.8
"Adams County, MS",2012,34,32122,105.8
"Adams County, MS",2017,26,31003,83.9
"Adams County, MS",2015,26,31254,83.2
"Adams County, MS",2014,23,31737,72.5
"Adams County, MS",2013,23,32090,71.7
"Adams County, MS",2016,21,31248,67.2
"Adams County, NE",2012,24,31459,76.3
"Adams County, NE",2015,21,31587,66.5
"Adams County, NE",2013,20,31610,63.3
"Adams County, OH",2017,32,27726,115.4
"Adams County, OH",2012,30,28350,105.8
"Adams County, OH",2016,29,27907,103.9
"Adams County, OH",2015,24,28024,85.6
"Adams County, OH",2013,23,28105,81.8
"Adams County, OH",2014,23,28129,81.8
"Adams County, PA",2012,68,101482,67.0
"Adams County, PA",2015,67,102295,65.5
"Adams County, PA",2014,62,101714,61.0
"Adams County, PA",2017,59,102336,57.7
"Adams County, PA",2016,50,102180,48.9
"Adams County, PA",2013,46,101546,45.3
"Adams County, WI",2012,31,20679,149.9
"Adams County, WI",2014,28,20215,138.5
"Adams County, WI",2013,25,20480,122.1
"Adams County, WI",2017,24,19973,120.2
"Adams County, WI",2015,24,20148,119.1
"Addison County, VT",2012,24,36745,65.3
"Addison County, VT",2016,20,36959,54.1
"Aiken County, SC",2014,117,164753,71.0
"Aiken County, SC",2016,107,167458,63.9
"Aiken County, SC",2015,97,165829,58.5
"Aiken County, SC",2017,95,168179,56.5
"Aiken County, SC",2012,91,162812,55.9
"Aiken County, SC",2013,90,164176,54.8
"Aitkin County, MN",2014,23,15771,145.8
"Alachua County, FL",2012,111,251417,44.1
"Alachua County, FL",2014,112,256380,43.7
"Alachua County, FL",2013,108,253451,42.6
"Alachua County, FL",2015,101,259964,38.9
"Alachua County, FL",2016,101,263496,38.3
"Alachua County, FL",2017,98,266944,36.7
"Alamance County, NC",2012,111,153920,72.1
"Alamance County, NC",2014,106,155792,68.0
"Alamance County, NC",2016,96,159688,60.1
"Alamance County, NC",2017,96,162391,59.1
"Alamance County, NC",2015,88,158276,55.6
"Alamance County, NC",2013,80,154378,51.8
"Alameda County, CA",2013,494,1578891,31.3
"Alameda County, CA",2014,501,1610921,31.1
"Alameda County, CA",2012,467,1554720,30.0
"Alameda County, CA",2015,473,1638215,28.9
"Alameda County, CA",2016,466,1647704,28.3
"Alameda County, CA",2017,446,1663190,26.8
"Albany County, NY",2012,185,305455,60.6
"Albany County, NY",2013,176,306945,57.3
"Albany County, NY",2015,175,309381,56.6
"Albany County, NY",2017,160,309612,51.7
"Albany County, NY",2016,159,308846,51.5
"Albany County, NY",2014,156,308171,50.6
"Albemarle County, VA",2016,49,106878,45.8
"Albemarle County, VA",2014,45,104489,43.1
"Albemarle County, VA",2017,45,107702,41.8
"Albemarle County, VA",2013,43,103000,41.7
"Albemarle County, VA",2012,41,102251,40.1
"Albemarle County, VA",2015,42,105703,39.7
"Alcorn County, MS",2016,36,37304,96.5
"Alcorn County, MS",2013,30,37316,80.4
"Alcorn County, MS",2015,28,37388,74.9
"Alcorn County, MS",2012,25,37164,67.3
"Alcorn County, MS",2017,21,37210,56.4
"Alcorn County, MS",2014,21,37380,56.2
"Alexander County, NC",2017,28,37286,75.1
"Alexander County, NC",2014,27,37392,72.2
"Alexander County, NC",2015,25,37325,67.0
"Alexander County, NC",2012,22,36853,59.7
"Alexander County, NC",2016,21,37428,56.1
"Alexander County, NC",2013,20,36930,54.2
"Alexandria city, VA",2015,38,153511,24.8
"Alexandria city, VA",2013,33,148892,22.2
"Alexandria city, VA",2012,32,146294,21.9
"Alexandria city, VA",2014,29,150575,19.3
"Alexandria city, VA",2017,29,160035,18.1
"Alexandria city, VA",2016,21,155810,13.5
"Allamakee County, IA",2015,21,13886,151.2
"Allegan County, MI",2012,71,112039,63.4
"Allegan County, MI",2015,71,114625,61.9
"Allegan County, MI",2017,72,116447,61.8
"Allegan County, MI",2016,66,115548,57.1
"Allegan County, MI",2013,63,112531,56.0
"Allegan County, MI",2014,58,113847,50.9
"Allegany County, MD",2016,65,72130,90.1
"Allegany County, MD",2015,52,72528,71.7
"Allegany County, MD",2013,47,73521,63.9
"Allegany County, MD",2012,46,74012,62.2
"Allegany County, MD",2017,43,71615,60.0
"Allegany County, MD",2014,43,72952,58.9
"Allegany County, NY",2017,39,46894,83.2
"Allegany County, NY",2014,35,47736,73.3
"Allegany County, NY",2013,35,48109,72.8
"Allegany County, NY",2012,32,48357,66.2
"Allegany County, NY",2016,27,47077,57.4
"Allegany County, NY",2015,27,47462,56.9
"Alleghany County, VA",2013,20,16161,123.8
"Allegheny County, PA",2012,886,1229338,72.1
"Allegheny County, PA",2013,794,1231527,64.5
"Allegheny County, PA",2014,783,1231255,63.6
"Allegheny County, PA",2015,778,1230459,63.2
"Allegheny County, PA",2017,736,1223048,60.2
"Allegheny County, PA",2016,706,1225365,57.6
"Allen County, IN",2015,192,368450,52.1
"Allen County, IN",2016,189,370404,51.0
"Allen County, IN",2014,175,365918,47.8
"Allen County, IN",2017,169,372877,45.3
"Allen County, IN",2013,153,363014,42.1
"Allen County, IN",2012,149,360412,41.3
"Allen County, KY",2014,21,20384,103.0
"Allen County, OH",2015,89,104425,85.2
"Allen County, OH",2016,77,103742,74.2
"Allen County, OH",2014,76,105040,72.4
"Allen County, OH",2012,72,105141,68.5
"Allen County, OH",2013,69,105298,65.5
"Allen County, OH",2017,57,103198,55.2
"Allen Parish, LA",2013,22,25537,86.1
"Allen Parish, LA",2016,22,25684,85.7
"Alpena County, MI",2017,31,28462,108.9
"Alpena County, MI",2012,31,29234,106.0
"Alpena County, MI",2014,28,28988,96.6
"Alpena County, MI",2015,22,28803,76.4
"Alpena County, MI",2016,21,28704,73.2
"Alpena County, MI",2013,21,29091,72.2
"Amador County, CA",2016,41,37383,109.7
"Amador County, CA",2012,35,37035,94.5
"Amador County, CA",2013,31,36519,84.9
"Amador County, CA",2014,27,36742,73.5
"Amador County, CA",2017,28,38626,72.5
"Amador County, CA",2015,21,37001,56.8
