,Full State Name,State,County,2012,2013,2014,2015,2016,2017
4632,South Carolina, SC,"Abbeville County, SC",20.8,21.6,23.1,22.5,21.6,22.7
2290,Louisiana, LA,"Acadia Parish, LA",19.1,18.7,19.9,20.6,20.6,21.5
5746,Virginia, VA,"Accomack County, VA",20.2,20.5,20.5,19.6,19.5,19.8
1344,Idaho, ID,"Ada County, ID",12.2,13.1,12.8,12.3,12.2,11.8
1201,Iowa, IA,"Adair County, IA",9.9,9.5,8.6,10.6,9.7,9.5
1986,Kentucky, KY,"Adair County, KY",20.6,19.1,19.8,21.6,23.3,21.5
2802,Missouri, MO,"Adair County, MO",24.7,23.7,26.1,26.9,26.0,26.2
4339,Oklahoma, OK,"Adair County, OK",24.9,26.4,27.3,26.9,30.1,30.8
552,Colorado, CO,"Adams County, CO",14.2,14.2,14.1,13.8,12.9,12.2
1202,Iowa, IA,"Adams County, IA",11.2,11.3,11.0,10.2,9.8,11.2
1345,Idaho, ID,"Adams County, ID",13.8,16.6,14.6,12.9,14.6,13.8
1490,Illinois, IL,"Adams County, IL",13.6,14.4,14.4,14.4,12.9,13.1
1684,Indiana, IN,"Adams County, IN",16.6,18.1,18.4,16.3,18.0,18.9
3114,Mississippi, MS,"Adams County, MS",28.6,28.4,30.0,30.1,30.4,34.2
3561,North Dakota, ND,"Adams County, ND",10.5,9.9,9.2,9.6,10.5,9.2
3614,Nebraska, NE,"Adams County, NE",12.4,12.8,11.8,11.8,11.2,12.4
4086,Ohio, OH,"Adams County, OH",23.1,22.7,25.3,24.6,24.5,23.8
4555,Pennsylvania, PA,"Adams County, PA",8.5,8.7,9.9,8.9,9.4,8.8
5908,Washington, WA,"Adams County, WA",23.1,22.9,23.3,21.4,23.0,23.1
6058,Wisconsin, WI,"Adams County, WI",11.6,10.6,12.7,14.1,12.7,13.0
5894,Vermont, VT,"Addison County, VT",11.1,11.3,10.2,9.2,8.7,7.8
4679,South Carolina, SC,"Aiken County, SC",18.9,18.9,18.4,18.1,17.4,16.7
2628,Minnesota, MN,"Aitkin County, MN",12.6,12.1,11.9,12.4,12.8,12.1
707,Florida, FL,"Alachua County, FL",23.8,24.9,25.4,24.3,24.2,23.3
3308,North Carolina, NC,"Alamance County, NC",17.3,18.3,18.8,19.2,18.5,17.6
372,California, CA,"Alameda County, CA",12.0,12.5,12.9,12.5,12.0,11.3
489,Colorado, CO,"Alamosa County, CO",21.8,26.5,27.9,28.9,31.4,27.8
3962,New York, NY,"Albany County, NY",13.1,13.0,13.6,13.5,12.9,12.4
6240,Wyoming, WY,"Albany County, WY",26.2,26.0,27.6,26.9,25.5,23.0
5613,Virginia, VA,"Albemarle County, VA",8.9,10.2,9.7,10.2,9.7,9.8
2462,Michigan, MI,"Alcona County, MI",15.1,15.1,15.7,15.2,14.9,14.9
3033,Mississippi, MS,"Alcorn County, MS",19.4,20.8,22.5,21.2,19.9,19.6
0,Alaska, AK,"Aleutians East Borough, AK",16.5,16.7,16.4,16.8,15.5,16.7
1,Alaska, AK,"Aleutians West CA, AK",10.5,9.2,8.9,9.1,7.7,7.5
1389,Illinois, IL,"Alexander County, IL",31.1,31.6,36.8,34.2,33.5,33.4
3409,North Carolina, NC,"Alexander County, NC",18.3,17.2,16.8,17.2,17.4,14.7
5748,Virginia, VA,"Alexandria city, VA",8.0,8.4,8.7,8.3,9.8,10.5
4340,Oklahoma, OK,"Alfalfa County, OK",12.0,12.8,13.9,12.9,12.5,11.2
2463,Michigan, MI,"Alger County, MI",14.9,14.8,13.9,14.3,13.1,13.0
