Full State Name,2012,2013,2014,2015,2016,2017
Alabama,19.8,20.9,20.5,20.2,20.3,19.3
Alaska,10.5,10.2,10.2,11.3,10.8,10.6
Arizona,20.2,19.4,19.9,19.8,20.5,19.7
Arkansas,20.4,21.5,21.1,21.0,20.6,19.8
California,15.5,16.65,16.700000000000003,16.6,16.25,15.25
Colorado,13.5,14.149999999999999,14.35,13.75,12.5,12.1
Connecticut,8.45,8.899999999999999,9.1,9.45,9.350000000000001,9.350000000000001
Delaware,12.4,12.9,12.9,12.6,12.9,12.0
District of Columbia,18.5,18.6,18.2,18.0,17.9,17.4
Florida,16.5,17.3,17.7,17.4,16.9,16.6
Georgia,21.4,22.0,22.2,21.9,21.0,21.5
Hawaii,10.9,11.2,11.7,11.0,9.8,10.0
Idaho,15.25,15.5,15.6,15.9,15.5,14.75
Illinois,13.3,13.95,14.15,14.0,14.0,13.9
Indiana,13.75,14.0,13.850000000000001,13.8,12.95,13.1
Iowa,11.3,11.5,11.6,11.4,11.0,11.0
Kansas,12.1,12.5,12.9,12.3,12.4,11.8
Kentucky,19.799999999999997,20.35,20.25,20.35,20.549999999999997,20.0
Louisiana,19.85,19.7,20.450000000000003,20.700000000000003,20.4,20.299999999999997
Maine,14.65,15.25,15.600000000000001,15.25,14.7,14.2
Maryland,8.6,9.15,10.05,9.85,9.95,9.350000000000001
Massachusetts,10.9,11.2,11.45,11.7,11.3,11.0
Michigan,16.2,16.3,16.3,16.9,16.3,15.5
Minnesota,11.5,11.6,11.4,11.4,11.5,11.3
Mississippi,24.35,24.799999999999997,24.85,24.7,24.45,23.35
Missouri,17.4,18.2,17.8,18.4,17.8,17.1
Montana,13.85,14.149999999999999,14.1,14.5,15.0,13.75
Nebraska,12.0,12.6,11.9,11.8,11.2,10.9
Nevada,14.3,15.0,15.7,15.2,12.9,13.2
New Hampshire,10.25,10.0,9.899999999999999,10.1,10.1,9.3
New Jersey,9.7,10.1,11.1,10.4,10.4,10.3
New Mexico,20.4,21.3,21.6,21.0,21.9,21.5
New York,13.4,13.649999999999999,13.75,14.55,14.05,14.2
North Carolina,18.0,18.700000000000003,19.25,19.15,18.3,17.9
North Dakota,10.6,10.1,9.3,10.0,9.6,9.0
Ohio,14.8,15.350000000000001,15.2,14.9,14.350000000000001,14.149999999999999
Oklahoma,16.5,16.8,16.8,17.3,16.8,17.0
Oregon,16.9,17.8,17.9,17.700000000000003,17.15,15.7
Pennsylvania,12.7,12.9,13.3,13.1,12.7,13.1
Rhode Island,8.3,8.7,8.8,9.9,9.2,9.0
South Carolina,20.05,20.6,21.05,20.4,19.6,19.950000000000003
South Dakota,13.2,13.3,13.4,12.6,11.6,12.0
Tennessee,19.2,19.5,19.8,19.6,19.1,18.6
Texas,16.85,16.9,17.15,16.95,16.5,16.15
Utah,12.3,12.8,13.0,13.0,12.4,12.1
Vermont,11.7,12.5,12.6,12.100000000000001,12.3,11.65
Virginia,12.9,13.2,13.5,13.4,14.2,13.4
Washington,14.8,15.8,15.7,16.0,15.6,14.5
West Virginia,17.8,19.0,18.9,18.0,17.7,17.8
Wisconsin,12.25,12.55,12.75,12.25,12.1,11.5
Wyoming,10.0,10.8,10.5,10.7,11.0,10.5
