Notes,State,State Code,Year,Year Code,Sex,Sex Code,Race,Race Code,Age Group,Age Group Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,Alabama,1,2007,2007,Female,F,Black or African American,2054-5,50-54 years,50-54,22,46035,47.8,29.9,72.4,10.2
,Alabama,1,2007,2007,Female,F,Black or African American,2054-5,55-59 years,55-59,18,37490,48,28.5,75.9,11.3
,Alabama,1,2007,2007,Female,F,Black or African American,2054-5,60-64 years ,60-64,30,25229,118.9,80.2,169.8,21.7
,Alabama,1,2007,2007,Female,F,Black or African American,2054-5,65-69 years,65-69,24,19762,121.4,77.8,180.7,24.8
,Alabama,1,2007,2007,Female,F,Black or African American,2054-5,70-74 years,70-74,27,16750,161.2,106.2,234.5,31
,Alabama,1,2007,2007,Female,F,Black or African American,2054-5,75-79 years,75-79,23,13699,167.9,106.4,251.9,35
,Alabama,1,2007,2007,Female,F,Black or African American,2054-5,80-84 years,80-84,23,10343,222.4,141,333.7,46.4
,Alabama,1,2007,2007,Female,F,Black or African American,2054-5,85+ years,85+,18,9717,185.2,109.8,292.8,43.7
,Alabama,1,2007,2007,Female,F,White,2106-3,45-49 years,45-49,34,126862,26.8,18.6,37.5,4.6
,Alabama,1,2007,2007,Female,F,White,2106-3,50-54 years,50-54,48,122238,39.3,29,52.1,5.7
,Alabama,1,2007,2007,Female,F,White,2106-3,55-59 years,55-59,85,114608,74.2,59.2,91.7,8
,Alabama,1,2007,2007,Female,F,White,2106-3,60-64 years ,60-64,118,101160,116.6,96.6,139.7,10.7
,Alabama,1,2007,2007,Female,F,White,2106-3,65-69 years,65-69,151,80826,186.8,158.2,219.1,15.2
,Alabama,1,2007,2007,Female,F,White,2106-3,70-74 years,70-74,157,67115,233.9,198.8,273.5,18.7
,Alabama,1,2007,2007,Female,F,White,2106-3,75-79 years,75-79,169,57122,295.9,252.9,344,22.8
,Alabama,1,2007,2007,Female,F,White,2106-3,80-84 years,80-84,117,44086,265.4,219.5,318.1,24.5
,Alabama,1,2007,2007,Female,F,White,2106-3,85+ years,85+,82,40269,203.6,162,252.8,22.5
,Alabama,1,2007,2007,Male,M,Black or African American,2054-5,45-49 years,45-49,25,40597,61.6,39.9,90.9,12.3
,Alabama,1,2007,2007,Male,M,Black or African American,2054-5,50-54 years,50-54,34,38709,87.8,60.8,122.7,15.1
,Alabama,1,2007,2007,Male,M,Black or African American,2054-5,55-59 years,55-59,57,31442,181.3,137.3,234.9,24
,Alabama,1,2007,2007,Male,M,Black or African American,2054-5,60-64 years ,60-64,62,20867,297.1,227.8,380.9,37.7
,Alabama,1,2007,2007,Male,M,Black or African American,2054-5,65-69 years,65-69,60,15045,398.8,304.3,513.3,51.5
,Alabama,1,2007,2007,Male,M,Black or African American,2054-5,70-74 years,70-74,56,11419,490.4,370.5,636.8,65.5
,Alabama,1,2007,2007,Male,M,Black or African American,2054-5,75-79 years,75-79,30,7741,387.5,261.5,553.2,70.8
,Alabama,1,2007,2007,Male,M,Black or African American,2054-5,80-84 years,80-84,31,4822,642.9,436.8,912.5,115.5
,Alabama,1,2007,2007,Male,M,Black or African American,2054-5,85+ years,85+,29,3488,831.4,556.8,1194.1,154.4
,Alabama,1,2007,2007,Male,M,White,2106-3,40-44 years,40-44,17,118406,14.4,8.4,23,3.5
,Alabama,1,2007,2007,Male,M,White,2106-3,45-49 years,45-49,39,125950,31,22,42.3,5
,Alabama,1,2007,2007,Male,M,White,2106-3,50-54 years,50-54,65,120115,54.1,41.8,69,6.7
,Alabama,1,2007,2007,Male,M,White,2106-3,55-59 years,55-59,140,109916,127.4,107.1,150.3,10.8
,Alabama,1,2007,2007,Male,M,White,2106-3,60-64 years ,60-64,209,93554,223.4,194.1,255.8,15.5
,Alabama,1,2007,2007,Male,M,White,2106-3,65-69 years,65-69,293,72067,406.6,361.3,455.9,23.8
,Alabama,1,2007,2007,Male,M,White,2106-3,70-74 years,70-74,258,56222,458.9,404.6,518.4,28.6
,Alabama,1,2007,2007,Male,M,White,2106-3,75-79 years,75-79,255,42329,602.4,530.7,681.1,37.7
,Alabama,1,2007,2007,Male,M,White,2106-3,80-84 years,80-84,191,27132,704,607.7,811.2,50.9
,Alabama,1,2007,2007,Male,M,White,2106-3,85+ years,85+,107,17145,624.1,511.5,754.1,60.3
,Alabama,1,2008,2008,Female,F,Black or African American,2054-5,50-54 years,50-54,17,47326,35.9,20.9,57.5,8.7
,Alabama,1,2008,2008,Female,F,Black or African American,2054-5,55-59 years,55-59,20,39439,50.7,31,78.3,11.3
,Alabama,1,2008,2008,Female,F,Black or African American,2054-5,60-64 years ,60-64,28,27012,103.7,68.9,149.8,19.6
,Alabama,1,2008,2008,Female,F,Black or African American,2054-5,65-69 years,65-69,24,20389,117.7,75.4,175.1,24
,Alabama,1,2008,2008,Female,F,Black or African American,2054-5,70-74 years,70-74,23,17035,135,85.6,202.6,28.2
