Notes,State,State Code,Year,Year Code,Sex,Sex Code,Race,Race Code,Age Group,Age Group Code,Deaths,Population,Crude Rate
,Alabama,1,2006,2006,Female,F,American Indian or Alaska Native,1002-5,< 1 year,1,0,131,0
,Alabama,1,2006,2006,Female,F,American Indian or Alaska Native,1002-5,1-4 years,4-Jan,0,788,0
,Alabama,1,2006,2006,Female,F,American Indian or Alaska Native,1002-5,5-9 years,9-May,0,1093,0
,Alabama,1,2006,2006,Female,F,American Indian or Alaska Native,1002-5,10-14 years,14-Oct,0,1237,0
,Alabama,1,2006,2006,Female,F,American Indian or Alaska Native,1002-5,15-19 years,15-19,0,1305,0
,Alabama,1,2006,2006,Female,F,American Indian or Alaska Native,1002-5,20-24 years,20-24,0,1235,0
,Alabama,1,2006,2006,Female,F,American Indian or Alaska Native,1002-5,25-29 years,25-29,0,1150,0
,Alabama,1,2006,2006,Female,F,American Indian or Alaska Native,1002-5,30-34 years,30-34,0,1061,0
,Alabama,1,2006,2006,Female,F,American Indian or Alaska Native,1002-5,35-39 years,35-39,0,1035,0
,Alabama,1,2006,2006,Female,F,American Indian or Alaska Native,1002-5,40-44 years,40-44,0,1342,0
,Alabama,1,2006,2006,Female,F,American Indian or Alaska Native,1002-5,45-49 years,45-49,0,1355,0
,Alabama,1,2006,2006,Female,F,American Indian or Alaska Native,1002-5,50-54 years,50-54,0,1144,0
,Alabama,1,2006,2006,Female,F,American Indian or Alaska Native,1002-5,55-59 years,55-59,0,899,0
,Alabama,1,2006,2006,Female,F,American Indian or Alaska Native,1002-5,60-64 years ,60-64,0,615,0
,Alabama,1,2006,2006,Female,F,American Indian or Alaska Native,1002-5,70-74 years,70-74,0,240,0
,Alabama,1,2006,2006,Female,F,American Indian or Alaska Native,1002-5,75-79 years,75-79,0,170,0
,Alabama,1,2006,2006,Female,F,American Indian or Alaska Native,1002-5,80-84 years,80-84,0,107,0
,Alabama,1,2006,2006,Female,F,American Indian or Alaska Native,1002-5,85+ years,85+,0,100,0
,Alabama,1,2006,2006,Female,F,Asian or Pacific Islander,A-PI,< 1 year,1,0,412,0
,Alabama,1,2006,2006,Female,F,Asian or Pacific Islander,A-PI,1-4 years,4-Jan,0,1644,0
,Alabama,1,2006,2006,Female,F,Asian or Pacific Islander,A-PI,5-9 years,9-May,0,2034,0
,Alabama,1,2006,2006,Female,F,Asian or Pacific Islander,A-PI,10-14 years,14-Oct,0,1710,0
,Alabama,1,2006,2006,Female,F,Asian or Pacific Islander,A-PI,15-19 years,15-19,0,1685,0
,Alabama,1,2006,2006,Female,F,Asian or Pacific Islander,A-PI,20-24 years,20-24,0,2310,0
,Alabama,1,2006,2006,Female,F,Asian or Pacific Islander,A-PI,25-29 years,25-29,0,2466,0
,Alabama,1,2006,2006,Female,F,Asian or Pacific Islander,A-PI,30-34 years,30-34,0,2843,0
,Alabama,1,2006,2006,Female,F,Asian or Pacific Islander,A-PI,35-39 years,35-39,0,2368,0
,Alabama,1,2006,2006,Female,F,Asian or Pacific Islander,A-PI,40-44 years,40-44,0,2175,0
,Alabama,1,2006,2006,Female,F,Asian or Pacific Islander,A-PI,60-64 years ,60-64,0,924,0
,Alabama,1,2006,2006,Female,F,Asian or Pacific Islander,A-PI,65-69 years,65-69,0,642,0
,Alabama,1,2006,2006,Female,F,Asian or Pacific Islander,A-PI,70-74 years,70-74,0,475,0
,Alabama,1,2006,2006,Female,F,Asian or Pacific Islander,A-PI,75-79 years,75-79,0,304,0
,Alabama,1,2006,2006,Female,F,Asian or Pacific Islander,A-PI,80-84 years,80-84,0,155,0
,Alabama,1,2006,2006,Female,F,Black or African American,2054-5,< 1 year,1,0,9019,0
,Alabama,1,2006,2006,Female,F,Black or African American,2054-5,1-4 years,4-Jan,0,35622,0
,Alabama,1,2006,2006,Female,F,Black or African American,2054-5,5-9 years,9-May,0,47809,0
,Alabama,1,2006,2006,Female,F,Black or African American,2054-5,10-14 years,14-Oct,0,52559,0
,Alabama,1,2006,2006,Female,F,Black or African American,2054-5,15-19 years,15-19,0,55678,0
,Alabama,1,2006,2006,Female,F,Black or African American,2054-5,25-29 years,25-29,0,47571,0
,Alabama,1,2006,2006,Female,F,Black or African American,2054-5,30-34 years,30-34,0,43552,0
,Alabama,1,2006,2006,Female,F,Black or African American,2054-5,50-54 years,50-54,19,44352,42.8
,Alabama,1,2006,2006,Female,F,Black or African American,2054-5,55-59 years,55-59,22,35361,62.2
,Alabama,1,2006,2006,Female,F,Black or African American,2054-5,60-64 years ,60-64,18,23474,76.7
,Alabama,1,2006,2006,Female,F,Black or African American,2054-5,65-69 years,65-69,16,19494,82.1
