Notes,County,County Code,Year,Year Code,Deaths,Population,Crude Rate
,"Abbeville County, SC",45001,2012,2012,19,25101,Unreliable
,"Abbeville County, SC",45001,2015,2015,17,24932,Unreliable
,"Abbeville County, SC",45001,2017,2017,12,24722,Unreliable
,"Abbeville County, SC",45001,2014,2014,24,24965,96.1
,"Abbeville County, SC",45001,2013,2013,23,25007,92
,"Abbeville County, SC",45001,2016,2016,22,24872,88.5
,"Acadia Parish, LA",22001,2015,2015,52,62577,83.1
,"Acadia Parish, LA",22001,2013,2013,51,62204,82
,"Acadia Parish, LA",22001,2017,2017,47,62590,75.1
,"Acadia Parish, LA",22001,2012,2012,37,61912,59.8
,"Acadia Parish, LA",22001,2016,2016,36,62645,57.5
,"Acadia Parish, LA",22001,2014,2014,32,62486,51.2
,"Accomack County, VA",51001,2013,2013,38,33148,114.6
,"Accomack County, VA",51001,2014,2014,36,33021,109
,"Accomack County, VA",51001,2016,2016,35,32947,106.2
,"Accomack County, VA",51001,2012,2012,34,33341,102
,"Accomack County, VA",51001,2017,2017,30,32545,92.2
,"Accomack County, VA",51001,2015,2015,24,32973,72.8
,"Ada County, ID",16001,2013,2013,155,416464,37.2
,"Ada County, ID",16001,2014,2014,148,426236,34.7
,"Ada County, ID",16001,2016,2016,148,444028,33.3
,"Ada County, ID",16001,2015,2015,143,434211,32.9
,"Ada County, ID",16001,2012,2012,130,409061,31.8
,"Ada County, ID",16001,2017,2017,121,456849,26.5
,"Adair County, IA",19001,2017,2017,13,7054,Unreliable
,"Adair County, KY",21001,2012,2012,14,18675,Unreliable
,"Adair County, KY",21001,2013,2013,15,18732,Unreliable
,"Adair County, KY",21001,2014,2014,15,19204,Unreliable
,"Adair County, KY",21001,2015,2015,10,19027,Unreliable
,"Adair County, KY",21001,2017,2017,13,19485,Unreliable
,"Adair County, MO",29001,2013,2013,11,25572,Unreliable
,"Adair County, MO",29001,2014,2014,19,25602,Unreliable
,"Adair County, MO",29001,2016,2016,13,25359,Unreliable
,"Adair County, MO",29001,2017,2017,22,25377,86.7
,"Adair County, OK",40001,2012,2012,13,22286,Unreliable
,"Adair County, OK",40001,2013,2013,15,22194,Unreliable
,"Adair County, OK",40001,2014,2014,18,22186,Unreliable
,"Adair County, OK",40001,2015,2015,18,22004,Unreliable
,"Adair County, OK",40001,2016,2016,10,22098,Unreliable
,"Adair County, OK",40001,2017,2017,15,21909,Unreliable
,"Adams County, CO",8001,2016,2016,156,498187,31.3
,"Adams County, CO",8001,2012,2012,132,459598,28.7
,"Adams County, CO",8001,2013,2013,127,469193,27.1
,"Adams County, CO",8001,2015,2015,132,491337,26.9
