County,State,2012,2013,2014,2015,2016,2017
"Aleutians East Borough, AK", AK,16.5,16.7,16.4,16.8,15.5,16.7
"Aleutians West CA, AK", AK,10.5,9.2,8.9,9.1,7.7,7.5
"Anchorage Muny, AK", AK,7.7,7.9,8.3,8.2,8.1,8.1
"Bethel CA, AK", AK,21.8,22.8,23.7,25.2,26.6,27
"Bristol Bay Borough, AK", AK,6.2,7.9,7.2,7.2,7.3,7.1
"Denali Borough, AK", AK,10.6,11.4,12.8,12.7,11.3,15.5
"Dillingham CA, AK", AK,17.9,18.1,18.1,18.1,16.5,16.6
"Fairbanks North Star Borough, AK", AK,8,8.4,8,8.1,7.8,7.7
"Haines Borough, AK", AK,6.4,7.8,7.7,5.3,5.3,8.4
"Hoonah-Angoon CA, AK", AK,13.9,1,15,11.9,12.3,11.1
"Juneau Cty&Bor, AK", AK,6.4,6.2,6.4,6.6,7.4,7.4
"Kenai Peninsula Borough, AK", AK,9.1,8.6,9.3,10,11,11
"Ketchikan Gateway Borough, AK", AK,10.3,10.2,11.5,12.1,10.8,10.6
"Kodiak Island Borough, AK", AK,11.5,11.7,11.4,11.3,9.2,9.3
"Lake and Peninsula Borough, AK", AK,23.1,21.1,18,16.8,18.8,16.5
"Matanuska-Susitna Borough, AK", AK,9.9,9.9,10.2,10,9.7,9.8
"Nome CA, AK", AK,26.5,27.7,27.6,27,27,24.9
"North Slope Borough, AK", AK,12.6,10.3,10.2,10.2,11.2,10.2
"Northwest Arctic Borough, AK", AK,19,22,22.8,23.8,24.5,25.3
"Petersburg CA, AK", AK,11.6,13.5,9.4,10.2,9.3,7.8
"Prince of Wales-Hyder CA, AK", AK,13.1,15.1,15.6,14.6,14.9,16
"Sitka Cty&Bor, AK", AK,7.4,10,8,9,9,9.2
"Skagway Muny, AK", AK,4.8,5.5,4.5,4.4,5.3,5.6
"Southeast Fairbanks CA, AK", AK,9.9,13.3,13.6,14.5,13.6,13.9
"Valdez-Cordova CA, AK", AK,7,8.3,9.8,10.9,8.5,7.4
"Wade Hampton CA, AK", AK,29.7,31.4,33,,,
"Wrangell Cty&Bor, AK", AK,7.6,9.5,9.9,11.8,9.9,11.7
"Yakutat Cty&Bor, AK", AK,3.3,5.9,4.7,5.4,7.9,6.2
"Yukon-Koyukuk CA, AK", AK,22.9,24.2,24.1,22.4,23.5,25.5
"Aleutians East Borough, AK", AK,16.5,16.7,16.4,16.8,15.5,16.7
"Aleutians West CA, AK", AK,10.5,9.2,8.9,9.1,7.7,7.5
"Anchorage Muny, AK", AK,7.7,7.9,8.3,8.2,8.1,8.1
"Bethel CA, AK", AK,21.8,22.8,23.7,25.2,26.6,27
"Bristol Bay Borough, AK", AK,6.2,7.9,7.2,7.2,7.3,7.1
"Denali Borough, AK", AK,10.6,11.4,12.8,12.7,11.3,15.5
"Dillingham CA, AK", AK,17.9,18.1,18.1,18.1,16.5,16.6
"Fairbanks North Star Borough, AK", AK,8,8.4,8,8.1,7.8,7.7
"Haines Borough, AK", AK,6.4,7.8,7.7,5.3,5.3,8.4
"Hoonah-Angoon CA, AK", AK,13.9,14.9,15,11.9,12.3,11.1
"Juneau Cty&Bor, AK", AK,6.4,6.2,6.4,6.6,7.4,7.4
"Kenai Peninsula Borough, AK", AK,9.1,8.6,9.3,10,11,11
"Ketchikan Gateway Borough, AK", AK,10.3,10.2,11.5,12.1,10.8,10.6
"Kodiak Island Borough, AK", AK,11.5,11.7,11.4,11.3,9.2,9.3
"Lake and Peninsula Borough, AK", AK,23.1,21.1,18,16.8,18.8,16.5
"Matanuska-Susitna Borough, AK", AK,9.9,9.9,10.2,10,9.7,9.8
"Nome CA, AK", AK,26.5,27.7,27.6,27,27,24.9
"North Slope Borough, AK", AK,12.6,10.3,10.2,10.2,11.2,10.2
"Northwest Arctic Borough, AK", AK,19,22,22.8,23.8,24.5,25.3
"Petersburg CA, AK", AK,11.6,13.5,9.4,10.2,9.3,7.8
"Prince of Wales-Hyder CA, AK", AK,13.1,15.1,15.6,14.6,14.9,16
"Sitka Cty&Bor, AK", AK,7.4,10,8,9,9,9.2
"Skagway Muny, AK", AK,4.8,5.5,4.5,4.4,5.3,5.6
"Southeast Fairbanks CA, AK", AK,9.9,13.3,13.6,14.5,13.6,13.9
"Valdez-Cordova CA, AK", AK,7,8.3,9.8,10.9,8.5,7.4
"Wade Hampton CA, AK", AK,29.7,31.4,33,,,
"Wrangell Cty&Bor, AK", AK,7.6,9.5,9.9,11.8,9.9,11.7
"Yakutat Cty&Bor, AK", AK,3.3,5.9,4.7,5.4,7.9,6.2
"Yukon-Koyukuk CA, AK", AK,22.9,24.2,24.1,22.4,23.5,25.5
"Autauga County, AL", AL,11.6,12.1,12.8,12.9,12.3,13.7
"Baldwin County, AL", AL,13.3,13.9,13.8,13.4,13,11.8
"Barbour County, AL", AL,26.1,26.7,24.1,26.7,26.4,27.2
"Bibb County, AL", AL,16.5,18.1,17,16.8,16.5,15.2
"Blount County, AL", AL,14.7,15.8,17.3,16.7,16.5,15.6
"Bullock County, AL", AL,22.2,21.6,20.5,24.6,26.9,28.5
"Butler County, AL", AL,25.7,28.4,25.9,25.4,25.7,24.4
"Calhoun County, AL", AL,21.4,21.9,21.7,20.5,19.6,18.6
"Chambers County, AL", AL,23.3,24.1,23.9,21.6,20.3,18.8
"Cherokee County, AL", AL,19.5,21.2,21,19.2,16.4,16.1
"Chilton County, AL", AL,18.6,19.5,18.8,19.1,20.3,19.4
"Choctaw County, AL", AL,20.2,21.5,21.5,23.4,21,22.3
"Clarke County, AL", AL,26.4,29.3,27,24.7,24.6,25.3
"Clay County, AL", AL,19.8,19,18.7,16.7,16.7,19.1
"Cleburne County, AL", AL,18,18.4,18.1,17,19.6,19.1
"Coffee County, AL", AL,17.1,18.6,18.8,17.1,16.4,16.1
"Colbert County, AL", AL,16.2,17.9,18.3,17.4,16.5,16.8
"Conecuh County, AL", AL,30.4,32.7,32.9,33.8,32.5,26.4
"Coosa County, AL", AL,20.2,20.9,20,19.3,15.3,14.4
"Covington County, AL", AL,20.9,20,20.1,20.2,19,17.6
"Crenshaw County, AL", AL,18.4,19.1,17.2,16.7,18.2,17.6
"Cullman County, AL", AL,18.6,18.8,18,18.5,17.1,16.4
"Dale County, AL", AL,16,17.4,18.7,19.1,20.5,19.6
"Dallas County, AL", AL,36.5,35.5,35.9,35,34.3,31.9
"DeKalb County, AL", AL,19.5,19.9,20.1,18.7,19.8,21.5
"Elmore County, AL", AL,13,13.4,12.9,13.6,14.3,13.5
"Escambia County, AL", AL,24.9,25.4,26,24.2,25.2,23.8
"Etowah County, AL", AL,18.8,19,19.6,19.7,18.4,17.9
"Fayette County, AL", AL,19.1,19.9,20.8,18.3,17.3,18.1
"Franklin County, AL", AL,19.8,21.9,24.3,22.5,22.3,23
"Geneva County, AL", AL,20,21.2,22.6,23.2,22.8,22.5
"Greene County, AL", AL,32.9,32.9,36.6,40.2,37.9,38.8
"Hale County, AL", AL,27.7,26.6,27.9,26.8,25.9,26.1
"Henry County, AL", AL,16,14.4,14.8,15.6,15.3,13.7
"Houston County, AL", AL,17.7,18,18.4,18.3,18.9,18.5
"Jackson County, AL", AL,16.2,16,18.2,18,18.8,19
"Jefferson County, AL", AL,17,18,18.7,18.8,18.1,17.6
"Lamar County, AL", AL,20.1,22.3,22.6,24.1,23.9,23.1
"Lauderdale County, AL", AL,17.9,17.2,18.7,17.9,18.3,16.3
"Lawrence County, AL", AL,16.1,17.5,17.1,18.7,18.3,16.6
"Lee County, AL", AL,21.1,22,23.6,23.8,23,22
"Limestone County, AL", AL,13.3,14.7,14.1,14.3,14.1,14.8
"Lowndes County, AL", AL,23.6,26.7,29.3,28.5,28.7,30.2
"Macon County, AL", AL,28.1,27.3,26.4,25.9,25.5,25.9
"Madison County, AL", AL,12.4,12.8,13.4,13.7,13.3,13.6
"Marengo County, AL", AL,22.8,24,25,26.1,27.8,25.6
"Marion County, AL", AL,20.9,20.9,19.4,20.1,18.6,17.6
"Marshall County, AL", AL,20,19.5,19.9,20.2,20.5,21
"Mobile County, AL", AL,19.5,19.8,19.9,19.3,19.5,19.3
"Monroe County, AL", AL,26,28.6,29.2,31.4,32.1,33.7
"Montgomery County, AL", AL,20.4,21.2,22,22.6,21.3,20.8
"Morgan County, AL", AL,15.1,15.7,15.1,16.1,16.3,16.6
"Perry County, AL", AL,26.9,25.6,37.4,36.4,39.8,41.9
"Pickens County, AL", AL,27.4,27.2,25.6,25,23.9,22.9
"Pike County, AL", AL,27.1,27.6,27.2,26.1,25.7,26.3
"Randolph County, AL", AL,23.1,24.5,23.5,20.4,20.6,18.7
"Russell County, AL", AL,22.2,22,22.1,21,21.5,20.9
"Shelby County, AL", AL,7.7,7.9,8.6,8.3,8.5,8.3
"St. Clair County, AL", AL,14.8,15.2,16.1,16,13.7,13.7
"Sumter County, AL", AL,38.1,38,38.5,42.7,36.7,36
"Talladega County, AL", AL,22.9,22.9,23.4,23,20.8,19.3
"Tallapoosa County, AL", AL,19.5,19.8,21.1,22.5,23.4,21.2
"Tuscaloosa County, AL", AL,19.2,18.9,18.4,19.1,18,17.3
"Walker County, AL", AL,19.8,20.9,23,22.5,21.9,21.5
"Washington County, AL", AL,17.1,18.4,15.9,19.1,21.6,22
"Wilcox County, AL", AL,39.4,39.2,40.6,37.7,34.9,31.9
"Winston County, AL", AL,24.2,24,22.4,21.9,20.6,18.7
"Autauga County, AL", AL,11.6,12.1,12.8,12.9,12.3,13.7
"Baldwin County, AL", AL,13.3,13.9,13.8,13.4,13,11.8
"Barbour County, AL", AL,26.1,26.7,24.1,26.7,26.4,27.2
"Bibb County, AL", AL,16.5,18.1,17,16.8,16.5,15.2
"Blount County, AL", AL,14.7,15.8,17.3,16.7,16.5,15.6
