Year,Race,Gender,Gender Code,Injury Intent,Deaths,Population,Crude Rate
1999,American Indian or Alaska Native,Female,F,Unintentional,1,1421980,Unreliable
1999,American Indian or Alaska Native,Female,F,Suicide,16,1421980,Unreliable
1999,American Indian or Alaska Native,Female,F,Homicide,22,1421980,1.5
1999,American Indian or Alaska Native,Female,F,Undetermined ,1,1421980,Unreliable
1999,American Indian or Alaska Native,Female,F,Legal Intervention / Operations of War,0,1421980,Unreliable
1999,American Indian or Alaska Native,Female,F,"Non-Injury, no intent classified",0,1421980,Unreliable
1999,American Indian or Alaska Native,Male,M,Unintentional,13,1410781,Unreliable
1999,American Indian or Alaska Native,Male,M,Suicide,120,1410781,8.5
1999,American Indian or Alaska Native,Male,M,Homicide,82,1410781,5.8
1999,American Indian or Alaska Native,Male,M,Undetermined ,5,1410781,Unreliable
1999,American Indian or Alaska Native,Male,M,Legal Intervention / Operations of War,8,1410781,Unreliable
1999,American Indian or Alaska Native,Male,M,"Non-Injury, no intent classified",0,1410781,Unreliable
1999,Asian or Pacific Islander,Female,F,Unintentional,0,5845369,Unreliable
1999,Asian or Pacific Islander,Female,F,Suicide,29,5845369,0.5
1999,Asian or Pacific Islander,Female,F,Homicide,70,5845369,1.2
1999,Asian or Pacific Islander,Female,F,Undetermined ,1,5845369,Unreliable
1999,Asian or Pacific Islander,Female,F,Legal Intervention / Operations of War,0,5845369,Unreliable
1999,Asian or Pacific Islander,Female,F,"Non-Injury, no intent classified",0,5845369,Unreliable
1999,Asian or Pacific Islander,Male,M,Unintentional,5,5501127,Unreliable
1999,Asian or Pacific Islander,Male,M,Suicide,174,5501127,3.2
1999,Asian or Pacific Islander,Male,M,Homicide,159,5501127,2.9
1999,Asian or Pacific Islander,Male,M,Undetermined ,4,5501127,Unreliable
1999,Asian or Pacific Islander,Male,M,Legal Intervention / Operations of War,4,5501127,Unreliable
1999,Asian or Pacific Islander,Male,M,"Non-Injury, no intent classified",0,5501127,Unreliable
1999,Black or African American,Female,F,Unintentional,21,18978030,0.1
1999,Black or African American,Female,F,Suicide,107,18978030,0.6
1999,Black or African American,Female,F,Homicide,694,18978030,3.7
1999,Black or African American,Female,F,Undetermined ,10,18978030,Unreliable
1999,Black or African American,Female,F,Legal Intervention / Operations of War,1,18978030,Unreliable
1999,Black or African American,Female,F,"Non-Injury, no intent classified",0,18978030,Unreliable
1999,Black or African American,Male,M,Unintentional,135,17195091,0.8
1999,Black or African American,Male,M,Suicide,1018,17195091,5.9
1999,Black or African American,Male,M,Homicide,4883,17195091,28.4
1999,Black or African American,Male,M,Undetermined ,56,17195091,0.3
1999,Black or African American,Male,M,Legal Intervention / Operations of War,92,17195091,0.5
1999,Black or African American,Male,M,"Non-Injury, no intent classified",0,17195091,Unreliable
1999,White,Female,F,Unintentional,95,115991916,0.1
1999,White,Female,F,Suicide,1968,115991916,1.7
1999,White,Female,F,Homicide,1098,115991916,0.9
1999,White,Female,F,Undetermined ,35,115991916,0
1999,White,Female,F,Legal Intervention / Operations of War,5,115991916,Unreliable
1999,White,Female,F,"Non-Injury, no intent classified",0,115991916,Unreliable
1999,White,Male,M,Unintentional,554,112695874,0.5
1999,White,Male,M,Suicide,13167,112695874,11.7
1999,White,Male,M,Homicide,3820,112695874,3.4
1999,White,Male,M,Undetermined ,212,112695874,0.2
1999,White,Male,M,Legal Intervention / Operations of War,189,112695874,0.2
1999,White,Male,M,"Non-Injury, no intent classified",0,112695874,Unreliable
2000,American Indian or Alaska Native,Female,F,Unintentional,2,1496044,Unreliable
2000,American Indian or Alaska Native,Female,F,Suicide,24,1496044,1.6
2000,American Indian or Alaska Native,Female,F,Homicide,16,1496044,Unreliable
