,Full State Name,State,County,2012,2013,2014,2015,2016,2017
0,Alasaka, AK,"Aleutians East Borough, AK",16.5,16.7,16.4,16.8,15.5,16.7
1,Alasaka, AK,"Aleutians West CA, AK",10.5,9.2,8.9,9.1,7.7,7.5
2,Alasaka, AK,"Anchorage Muny, AK",7.7,7.9,8.3,8.2,8.1,8.1
3,Alasaka, AK,"Bethel CA, AK",21.8,22.8,23.7,25.2,26.6,27
4,Alasaka, AK,"Bristol Bay Borough, AK",6.2,7.9,7.2,7.2,7.3,7.1
5,Alasaka, AK,"Denali Borough, AK",10.6,11.4,12.8,12.7,11.3,15.5
6,Alasaka, AK,"Dillingham CA, AK",17.9,18.1,18.1,18.1,16.5,16.6
7,Alasaka, AK,"Fairbanks North Star Borough, AK",8,8.4,8,8.1,7.8,7.7
8,Alasaka, AK,"Haines Borough, AK",6.4,7.8,7.7,5.3,5.3,8.4
9,Alasaka, AK,"Hoonah-Angoon CA, AK",13.9,1,15,11.9,12.3,11.1
10,Alasaka, AK,"Juneau Cty&Bor, AK",6.4,6.2,6.4,6.6,7.4,7.4
11,Alasaka, AK,"Kenai Peninsula Borough, AK",9.1,8.6,9.3,10,11,11
12,Alasaka, AK,"Ketchikan Gateway Borough, AK",10.3,10.2,11.5,12.1,10.8,10.6
13,Alasaka, AK,"Kodiak Island Borough, AK",11.5,11.7,11.4,11.3,9.2,9.3
14,Alasaka, AK,"Lake and Peninsula Borough, AK",23.1,21.1,18,16.8,18.8,16.5
15,Alasaka, AK,"Matanuska-Susitna Borough, AK",9.9,9.9,10.2,10,9.7,9.8
16,Alasaka, AK,"Nome CA, AK",26.5,27.7,27.6,27,27,24.9
17,Alasaka, AK,"North Slope Borough, AK",12.6,10.3,10.2,10.2,11.2,10.2
18,Alasaka, AK,"Northwest Arctic Borough, AK",19,22,22.8,23.8,24.5,25.3
19,Alasaka, AK,"Petersburg CA, AK",11.6,13.5,9.4,10.2,9.3,7.8
20,Alasaka, AK,"Prince of Wales-Hyder CA, AK",13.1,15.1,15.6,14.6,14.9,16
21,Alasaka, AK,"Sitka Cty&Bor, AK",7.4,10,8,9,9,9.2
22,Alasaka, AK,"Skagway Muny, AK",4.8,5.5,4.5,4.4,5.3,5.6
23,Alasaka, AK,"Southeast Fairbanks CA, AK",9.9,13.3,13.6,14.5,13.6,13.9
24,Alasaka, AK,"Valdez-Cordova CA, AK",7,8.3,9.8,10.9,8.5,7.4
25,Alasaka, AK,"Wade Hampton CA, AK",29.7,31.4,33,,,
26,Alasaka, AK,"Wrangell Cty&Bor, AK",7.6,9.5,9.9,11.8,9.9,11.7
27,Alasaka, AK,"Yakutat Cty&Bor, AK",3.3,5.9,4.7,5.4,7.9,6.2
28,Alasaka, AK,"Yukon-Koyukuk CA, AK",22.9,24.2,24.1,22.4,23.5,25.5
29,Alasaka, AK,"Aleutians East Borough, AK",16.5,16.7,16.4,16.8,15.5,16.7
30,Alasaka, AK,"Aleutians West CA, AK",10.5,9.2,8.9,9.1,7.7,7.5
31,Alasaka, AK,"Anchorage Muny, AK",7.7,7.9,8.3,8.2,8.1,8.1
32,Alasaka, AK,"Bethel CA, AK",21.8,22.8,23.7,25.2,26.6,27
33,Alasaka, AK,"Bristol Bay Borough, AK",6.2,7.9,7.2,7.2,7.3,7.1
34,Alasaka, AK,"Denali Borough, AK",10.6,11.4,12.8,12.7,11.3,15.5
35,Alasaka, AK,"Dillingham CA, AK",17.9,18.1,18.1,18.1,16.5,16.6
